6220 C	[0.601057,-0.009312,-0.020421]
6221 C	[0.564719,-0.011214,-0.021619]
6222 C	[0.528522,-0.0127,-0.019947]
6223 C	[0.472391,-0.012877,-0.01987]
6224 C	[0.438637,-0.012841,-0.018831]
100 C	[0.923786,-0.038251,0.150965]
101 C	[0.920889,-0.04184,0.167178]
102 C	[0.9077,-0.045322,0.207078]
Yellow C	[0.897886,-0.036449,0.209578]
103 C	[0.737443,-0.023574,0.165014]
104 C	[0.680893,-0.021682,0.144928]
105 C	[0.578799,-0.014373,0.101837]
7401 C	[0.912832,-0.000234,0.079979]
7402 C	[0.885314,-0.001394,0.084662]
7403 C	[0.875366,-0.000514,0.103849]
7404 C	[0.886594,-0.023016,0.162872]
7405 C	[0.85536,-0.019861,0.182779]
7406 C	[0.836244,-0.006821,0.179293]
7407 C	[0.731768,0.020994,0.107688]
2001 C	[0.920821,-0.007363,0.094431]
2002 C	[0.911482,-0.011436,0.121903]
2003 C	[0.910355,-0.019692,0.142148]
2004 C	[0.903893,-0.003582,0.122717]
2005 C	[0.897042,0.008632,0.114359]
2006 C	[0.819354,0.011967,0.136326]
2007 C	[0.761168,0.025798,0.145831]
106 C	[0.912482,-0.032197,0.165808]
107 C	[0.905499,-0.031222,0.179831]
108 C	[0.89428,-0.026195,0.192278]
109 C	[0.877205,-0.012179,0.194484]
110 C	[0.760986,0.000257,0.171559]
111 C	[0.646004,-0.006784,0.138202]
112 C	[0.618781,-0.009362,0.122027]
113 C	[0.905477,-0.022298,0.156487]
114 C	[0.899922,-0.02128,0.166416]
115 C	[0.89262,-0.019202,0.176152]
116 C	[0.871006,-0.00281,0.18322]
117 C	[0.707038,0.010941,0.154936]
118 C	[0.637342,0.006182,0.134728]
119 C	[0.563333,-0.005694,0.101449]
127 C	[0.89423,-0.0159,0.132457]
128 C	[0.875872,-0.012534,0.151612]
129 C	[0.864851,-0.008826,0.158247]
130 C	[0.788561,0.039379,0.16626]
131 C	[0.68692,0.038956,0.145798]
132 C	[0.590914,0.019448,0.121717]
133 C	[0.467885,0.003488,0.081298]
4001 C	[0.887731,-0.007053,0.079665]
4002 C	[0.830366,-0.002116,0.09141]
4003 C	[0.832183,-0.004275,0.06598]
4004 C	[0.780772,-0.00405,0.084785]
4005 C	[0.751894,0.003391,0.069495]
4006 C	[0.726063,0.008664,0.072245]
4007 C	[0.681802,0.00682,0.076734]
1205 C	[0.909975,-0.004216,0.104904]
1215 C	[0.893537,0.000429,0.127249]
1225 C	[0.863711,0.015669,0.154087]
1235 C	[0.834166,0.036762,0.165329]
1245 C	[0.695742,0.020977,0.138011]
1255 C	[0.6394,0.012359,0.121244]
1265 C	[0.546126,0.008336,0.094357]
120 C	[0.897225,-0.007625,0.140686]
121 C	[0.890901,-0.005429,0.149518]
122 C	[0.879614,-0.000125,0.1607]
123 C	[0.861243,0.014082,0.166221]
124 C	[0.78098,0.024094,0.164035]
125 C	[0.648836,0.018156,0.134436]
126 C	[0.588266,0.009501,0.115716]
7548 C	[0.861288,0.006171,0.196428]
7549 C	[0.825933,0.027653,0.183273]
7550 C	[0.702826,0.030937,0.152319]
7551 C	[0.634412,0.025322,0.132069]
7552 C	[0.468168,0.018048,0.080429]
7553 C	[0.406987,0.012392,0.057548]
7554 C	[0.370771,0.009525,0.034479]
7555 C	[0.73323,0.014983,0.146316]
7556 C	[0.665183,0.013327,0.126782]
7557 C	[0.608299,0.008324,0.111385]
7558 C	[0.575205,0.01601,0.10139]
7559 C	[0.551611,0.020928,0.091998]
7560 C	[0.515212,0.011964,0.077724]
7561 C	[0.482969,0.001843,0.060629]
